2	158322700
2	158406865
2	9662210
3	123065778
6	142734204
11	10331664
10	115789375
19	40756528
7	2756832
8	41533514
11	69983047
12	12878349
10	25056118
6	109288036
11	2299035
17	29211667
8	38366249
18	20720973
11	69445969
12	4328521
7	92264410
6	20675792
11	2910191
19	33834096
6	126727950
8	57122215
20	31327144
3	148622968
20	62445702
8	66861738
16	68017231
1	212289976
5	158437823
20	33719183
17	7164563
8	120596023
8	23345526
2	46484205
2	46567276
6	152052043
22	45732328
2	97582235
11	1681227
1	161644871
6	35687249
13	28934364
15	91429042
19	49206172
6	53349401
6	53021737
20	34025756
16	20037965
8	142366200
9	139245460
7	50736662
10	94467145
4	145599908
6	26186200
10	70986723
6	31269173
6	34190104
12	66368872
12	66371880
15	99193276
15	99240481
11	2118860
7	23513093
7	46298647
2	217543728
19	7161849
7	16216145
X	78630857
13	48846778
12	26877885
5	133838180
20	10658882
17	68090207
17	68464662
1	215387455
11	2724130
11	2857297
13	33556228
13	73624534
3	183368891
15	86316570
2	23903541
2	23912401
10	89605427
22	29468456
6	130345835
4	17903654
4	17910236
2	109201345
20	22540915
13	40647206
13	78580283
12	103081192
3	156795468
8	57499986
2	121309488
2	43185532
19	8789666
5	57091783
5	157887966
12	65902265
20	11079739
20	11207419
20	11500108
2	227019461
9	113901309
20	39159119
22	38595260
2	160569276
6	19973680
8	6446938
8	129170126
14	101257755
19	54205961
12	66398156
6	33775641
7	73018816
11	92708710
17	79905947
22	42070374
8	41505849
6	141878920
10	96127317
20	57274151
15	96852638
21	16339172
10	104958244
4	135121721
16	50271806
9	119115531
1	176521655
6	166011172
6	166142456
1	66441329
13	28502874
5	52003397
9	123633948
5	67585723
22	50461607
X	68382836
X	133827868
10	96039597
20	39797465
10	124128443
15	74336633
1	214176779
22	46450297
3	184020542
9	98217348
9	98279801
3	46947087
9	96900505
1	214724668
9	125701608
17	17661802
1	155880952
15	60883281
19	54705928
6	7231843
6	35207032
12	111884608
1	232765308
5	36160668
1	43456767
12	46613394
8	142252580
16	55699525
16	55741204
20	10612963
7	127660763
14	50849397
15	38626475
2	191843830
7	43637797
1	119412317
4	106133184
2	43608902
17	7455536
7	47275737
17	7571752
8	126506140
10	82208878
6	35498632
19	4915447
21	43581308
15	53747228
17	25642315
11	32401585
3	142123841
7	44246271
1	154987704
1	154991389
8	106112244
16	88298124
19	55993436
