1	11862778
1	28691734
1	118148384
1	154991389
2	36809496
2	43423870
2	46484205
2	158406865
2	169763148
3	14287150
3	14890655
3	123125711
3	141128804
3	155855418
3	156798294
4	17942560
4	106115450
4	145599908
5	71739546
5	133830395
5	157887966
5	158217904
5	172196752
6	7231843
6	26198046
6	31368451
6	34199815
6	35088608
6	35529025
6	129852528
6	130417833
6	152052043
7	2740802
7	22810166
7	23591862
7	44174857
7	44223858
7	44245853
7	99332948
7	150690176
8	23405123
8	77611012
9	4180471
9	4293150
9	98217348
9	113892963
9	116916214
10	70975897
10	96038686
10	96062483
10	114758349
10	115805056
10	124186714
11	2691500
11	8251921
11	32405355
11	48233667
11	63767249
11	92708710
11	102094889
12	30852448
12	47187260
12	66359752
12	103073093
12	103123339
12	111884608
15	41401550
15	67438091
15	75082552
15	86224570
15	91009484
15	91428636
16	68403654
17	7180274
17	79959703
19	8786918
19	56320663
19	56423668
